County,Health Facility Name,Latitude,Longitude,Subcounty
Kajiado,Andrea Dispensary,-1.617610,36.73490,Kajiado East
Kajiado,Pakasse Dispensary (CDF),-2.099900,36.12810,Kajiado West
Kajiado,Oloiyangalani Dispensary,-1.779860,36.69000,Kajiado Central
Kajiado,Bethelm Clinic,-1.396070,36.75590,Kajiado North
Kajiado,Cedar Medical Clinic (Olchorro),-0.823645,36.00460,Loitokitok
Kajiado,Mosiro Dispensary (Kajiado),-1.463130,36.12520,Kajiado West
Kajiado,Olooseos Dispensary,-1.466610,36.66297,Kajiado West
Kajiado,St Peters Medical Clinic,-2.926040,37.50988,Loitokitok
Kajiado,Ilkilinyet Dispensary,-2.292630,37.61319,Kajiado East
Kajiado,Loitokitok Medical Clinic,-2.926900,37.51129,Loitokitok
Kajiado,Snkitok Joy Nursing Home,-1.384230,36.65530,Kajiado North
Kajiado,Kajiado District Hospital,-1.857750,36.77214,Kajiado Central
Kajiado,Meto Dispensary,-2.410900,36.54962,Kajiado Central
Kajiado,St Therese Dispensary,-1.479440,36.95978,Kajiado East
Kajiado,ILCHALAI DISPENSARY,-2.682110,37.62689,Loitokitok
Kajiado,Njukini Dispensary (Not Operational),-3.170780,37.77528,Loitokitok
Kajiado,Fr Andrian Heath Centre,-1.841990,36.79135,Kajiado East
Kajiado,Emumwenyi Dispensary,-3.088130,37.75091,Loitokitok
Kajiado,Amboseli Dispensary,-2.744920,37.36670,Loitokitok
Kajiado,Amboseli Serena Lodge Clinic,-2.707250,37.26451,Loitokitok
Kajiado,Simba Health Centre,-2.159290,37.59477,Kajiado East
Kajiado,Moka Clinic,-1.429640,36.68723,Kajiado North
Kajiado,Emurua Dikir Dispensary,-2.211070,36.73888,Kajiado Central
Kajiado,Bonzina Medical Clinic,-1.387780,36.75230,Kajiado North
Kajiado,Pakase Medical Clinic,-2.064720,36.03970,Kajiado North
Kajiado,Robana Medical Clinic,-1.396070,36.75590,Kajiado North
Kajiado,Ilkisanjani Medical Clinic,-2.906950,37.53710,Loitokitok
Kajiado,Merueshi Maasai Naratisho Community Dispensary,-2.372190,37.54465,Kajiado East
Kajiado,Kimana Health Centre,-2.814500,37.53042,Loitokitok
Kajiado,Drop Inn Ray Clinic,-1.387780,36.75230,Kajiado North
Kajiado,Siloam Medical Clinic (Kajiado),-1.384230,36.65530,Kajiado North
Kajiado,Mailwa Dispensary,-2.328680,36.96297,Kajiado Central
Kajiado,Kibini Hill (PCEA) Dispensary,-2.174920,37.26050,Kajiado East
Kajiado,Rombo Health Centre,-3.059750,37.69964,Loitokitok
Kajiado,Kajiado (AIC) Dispensary,-1.831190,36.80599,Kajiado Central
Kajiado,Rusana Medical Clinic,-1.396070,36.75590,Kajiado North
Kajiado,St Johns Health Care,-1.575980,36.95786,Kajiado North
Kajiado,Josdidas Medicare,-1.429040,36.68655,Kajiado North
Kajiado,Grace Medical Centre,-1.832500,36.79055,Kajiado East
Kajiado,Ngong Sub-District Hospital,-1.365190,36.65417,Kajiado North
Kajiado,Jamii Medical Clinic (Kajiado),-2.158350,37.59294,Kajiado Central
Kajiado,GK Prison Dispensary (Athi River),-1.474630,36.93580,Kajiado East
Kajiado,Oltukai Lodge Clinic,-2.667520,37.28236,Loitokitok
Kajiado,Emaroro Dispensary,-1.946540,37.09308,Kajiado East
Kajiado,St Peter Kware Medical Clinic,-1.235620,36.44974,Kajiado North
