s,facility_name,County,Subcounty,Latitude,Longitude,Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
14200,amboseli dispensary,kajiado,loitokitok,-2.74492,37.3667,Entonet/Lenkism Ward
