facility_name,orgUnit,orgUnit_level,dataElement_name,dataElement_code,dataElement,dx_type,period,value,County,Subcounty,Ward,uid_record,Latitude,Longitude
amboseli dispensary,HzKPLEISiy4,5,Brucellosis,,nb9cfWgxYFc,dataElement,202202,1,kajiado county,loitokitok sub county,Entonet/Lenkism Ward,HzKPLEISiy4_nb9cfWgxYFc_202202,-2.74492,37.3667
amboseli dispensary,HzKPLEISiy4,5,MOH 711 MUAC 6 - 59 months Normal (Green),,BZbUjXynxfr,dataElement,202202,24,kajiado county,loitokitok sub county,Entonet/Lenkism Ward,HzKPLEISiy4_BZbUjXynxfr_202202,-2.74492,37.3667
amboseli dispensary,HzKPLEISiy4,5,MOH 711 Live birth,,UqKC1DJnymn,dataElement,202203,6,kajiado county,loitokitok sub county,Entonet/Lenkism Ward,HzKPLEISiy4_UqKC1DJnymn_202203,-2.74492,37.3667
amboseli dispensary,HzKPLEISiy4,5,MOH 711 MUAC 6 - 59 months Normal (Green),,BZbUjXynxfr,dataElement,202203,48,kajiado county,loitokitok sub county,Entonet/Lenkism Ward,HzKPLEISiy4_BZbUjXynxfr_202203,-2.74492,37.3667
amboseli dispensary,HzKPLEISiy4,5,MOH 711 MUAC 6 - 59 months Severe (Red),,sTjfhcH5iXK,dataElement,202203,1,kajiado county,loitokitok sub county,Entonet/Lenkism Ward,HzKPLEISiy4_sTjfhcH5iXK_202203,-2.74492,37.3667
amboseli dispensary,HzKPLEISiy4,5,MOH 711 Live birth,,UqKC1DJnymn,dataElement,202204,4,kajiado county,loitokitok sub county,Entonet/Lenkism Ward,HzKPLEISiy4_UqKC1DJnymn_202204,-2.74492,37.3667
amboseli dispensary,HzKPLEISiy4,5,MOH 711 MUAC 6 - 59 months Normal (Green),,BZbUjXynxfr,dataElement,202204,21,kajiado county,loitokitok sub county,Entonet/Lenkism Ward,HzKPLEISiy4_BZbUjXynxfr_202204,-2.74492,37.3667
amboseli dispensary,HzKPLEISiy4,5,MOH 711 Live birth,,UqKC1DJnymn,dataElement,202205,4,kajiado county,loitokitok sub county,Entonet/Lenkism Ward,HzKPLEISiy4_UqKC1DJnymn_202205,-2.74492,37.3667
amboseli dispensary,HzKPLEISiy4,5,MOH 711 MUAC 6 - 59 months Moderate (Yellow),,i2eE15DhmMB,dataElement,202205,2,kajiado county,loitokitok sub county,Entonet/Lenkism Ward,HzKPLEISiy4_i2eE15DhmMB_202205,-2.74492,37.3667
amboseli dispensary,HzKPLEISiy4,5,MOH 711 MUAC 6 - 59 months Normal (Green),,BZbUjXynxfr,dataElement,202205,27,kajiado county,loitokitok sub county,Entonet/Lenkism Ward,HzKPLEISiy4_BZbUjXynxfr_202205,-2.74492,37.3667
